PesticideInRiver,RiverFlow,FishAbundance,Rainfall,ENSO,TreeCond,Irrigation,Drought,PesticideUse,CropYield,CropWater
1.33258,73.5831,49.8059,57.3075,Neutral,Damaged,No,Yes,4.88288,1.89811,24.7391
8.46684,384.978,82.8958,189.19,Neutral,Good,No,No,2.56184,0.0407481,15.0249
0.361959,40.9826,95.7371,26.6105,El_Nino,Good,Yes,No,4.48454,0.995263,79.6384
0.498825,35.4122,39.2444,120.18,La_Nina,Good,Yes,No,1.40454,0.539985,281.821
5.30627,97.3578,1.82653,115.522,Neutral,Damaged,No,Yes,3.8538,0.357766,31.7217
0.183865,92.5036,68.0478,91.9907,Neutral,Good,No,Yes,3.18939,1.51265,68.8841
1.02747,54.2233,52.7803,5.20474,El_Nino,Damaged,Yes,No,1.67103,0.139254,13.694
9.2761,380.843,55.0547,64.2108,Neutral,Good,No,No,3.35427,7.57729,215.282
4.19301,179.288,76.5959,328.225,La_Nina,Good,No,No,4.54566,1.47421,57.3546
7.63651,33.7561,8.3591,196.899,Neutral,Good,No,Yes,2.18184,0.55481,10.0132
3.57907,152.373,61.3208,340.309,La_Nina,Good,No,No,3.48438,4.18691,263.663
8.10183,332.017,0.780007,70.9674,Neutral,Good,Yes,No,2.633,9.76186,179.126
0.507166,190.639,93.1298,95.6971,Neutral,Good,No,No,4.41976,1.76715,55.9929
2.50427,46.2945,48.6281,182.072,Neutral,Dead,No,Yes,3.52328,1.16526,68.3488
8.48615,267.593,164.776,110.543,Neutral,Good,Yes,No,2.94859,5.6165,310.572
1.96437,91.4803,65.9635,110.492,Neutral,Good,Yes,No,3.14394,3.68536,269.624
1.33419,330.222,0.0375458,160.132,Neutral,Good,Yes,No,3.24123,4.66096,332.712
1.08107,199.013,66.3866,152.556,Neutral,Good,No,No,1.10243,0.706783,70.8468
5.66427,188.265,179.596,180.308,La_Nina,Good,No,No,2.78165,0.270081,83.6763
8.18417,305.251,58.9226,344.974,La_Nina,Good,No,No,3.25469,9.83714,208.44
9.32873,126.606,75.3993,115.161,El_Nino,Damaged,No,Yes,3.14105,1.12071,97.1816
4.39484,97.3591,28.0059,98.1994,Neutral,Good,Yes,No,2.62965,5.8659,268.548
0.913528,54.5341,98.1279,51.4165,Neutral,Good,No,No,3.77311,1.83896,77.8392
2.15992,312.214,36.1389,92.3265,Neutral,Good,No,No,4.94448,0.780555,0.589268
0.974226,16.5488,36.5142,96.6797,Neutral,Good,Yes,No,3.41033,6.40612,257.841
1.03909,151.311,148,104.399,Neutral,Damaged,No,Yes,2.45043,1.73121,16.175
