PesticideInRiver,RiverFlow,FishAbundance,Rainfall,ENSO,TreeCond,Irrigation,Drought,PesticideUse,CropYield,CropWater
*,*,*,*,*,*,*,No,*,1.19916,*
*,*,*,*,Neutral,*,*,*,2.17154,5.09606,*
*,26.8922,*,*,Neutral,*,*,Yes,*,*,73.2366
*,*,*,*,*,*,*,No,*,*,*
8.41913,*,*,*,*,Good,*,*,*,0.937554,*
1.70264,*,*,*,El_Nino,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,Neutral,Good,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,Good,Yes,*,*,*,*
*,*,*,*,*,Good,*,*,4.79886,*,*
*,*,176.817,*,*,*,*,*,*,*,*
*,*,*,*,*,*,No,*,*,1.6586,*
*,*,*,*,*,Good,No,*,*,*,*
*,*,*,*,*,*,*,*,*,6.13928,*
*,*,*,31.2114,*,*,*,*,*,1.69218,*
*,*,*,*,*,*,*,*,*,6.75612,*
*,*,*,*,*,Good,*,*,*,*,*
*,*,60.09,*,*,*,No,No,*,*,*
*,*,*,*,*,Damaged,*,*,*,*,*
*,87.0924,*,*,*,*,*,*,*,*,47.3162
*,*,*,*,*,Good,Yes,*,*,*,*
*,*,*,93.3404,*,*,Yes,No,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,4.46509,4.98002,*
*,*,*,*,*,*,*,*,4.12275,*,*
*,*,34.0112,*,*,*,*,Yes,*,*,91.2977
3.18203,*,*,*,*,*,*,No,2.3626,1.36453,2.78532
*,*,*,*,El_Nino,*,*,*,*,1.66484,3.82549
*,*,4.48711,146.394,*,*,*,*,2.37678,1.7969,42.1966
*,*,*,*,*,*,*,*,*,*,*
*,*,123.52,*,*,Damaged,*,*,*,*,*
*,*,50.1342,*,*,*,*,No,*,*,*
*,*,*,*,*,*,*,*,*,0.933184,11.544
*,127.651,*,153.334,*,Good,*,*,*,*,*
*,*,*,*,*,*,*,*,*,8.90261,*
*,*,*,*,*,Good,*,No,*,*,*
*,*,20.1756,*,*,*,Yes,*,*,0.93022,*
4.60402,311.572,*,*,*,*,*,*,*,*,*
*,*,*,*,*,Damaged,*,*,4.60702,*,*
*,*,11.8894,288.478,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,4.57738,*,*
*,*,*,*,Neutral,Good,*,No,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,168.149,*,*,*,Yes,*,*,*
8.71896,13.2375,*,*,*,Good,*,*,*,*,97.376
*,*,*,*,*,*,*,*,*,*,*
*,*,*,91.6807,Neutral,Dead,Yes,*,4.77514,*,*
*,*,38.9051,*,*,*,*,Yes,3.02759,5.90771,*
*,*,*,*,Neutral,*,No,*,*,*,7.52408
*,*,*,*,*,*,*,No,*,*,17.9641
*,*,*,*,*,Good,*,*,*,7.74402,293.397
1.85741,*,*,*,*,Good,*,*,*,*,*
*,*,*,*,*,*,No,*,*,*,*
*,*,132.36,*,*,*,*,*,*,0.0964357,*
*,*,*,*,*,*,*,*,*,8.02858,*
*,*,*,*,*,*,*,*,*,*,*
*,5.10621,*,*,Neutral,*,*,*,1.69923,1.47635,*
*,*,*,*,*,*,No,*,*,0.961152,*
0.468697,*,*,*,*,*,*,*,*,*,*
*,*,*,172.664,*,*,*,*,*,*,*
*,*,73.5479,*,*,*,*,*,4.53996,0.392235,*
1.13172,*,*,*,*,*,*,*,0.57793,*,25.4167
1.6632,*,*,*,El_Nino,*,*,*,*,*,*
*,154.494,63.0622,*,*,Good,*,*,3.94977,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,155.345,*,Good,Yes,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,327.231,10.1138,316.365,*,*,*,*,*,*,*
*,*,*,44.6871,*,*,*,*,*,*,*
*,*,67.455,*,*,*,No,*,*,*,*
*,225.966,*,180.219,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*
4.57354,*,*,*,Neutral,*,*,Yes,*,*,*
*,*,*,*,*,*,*,*,2.50619,7.20276,*
*,97.2746,*,189.885,*,*,Yes,*,*,*,67.6536
*,*,*,193.394,*,*,*,No,*,*,*
*,*,*,*,*,Dead,*,Yes,*,0.737344,*
*,*,95.3185,*,*,*,No,*,*,*,90.3639
*,*,*,*,*,*,*,*,4.22014,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,El_Nino,*,*,*,2.80862,*,*
1.91234,*,*,*,Neutral,*,*,*,2.57581,4.99772,137.915
*,17.4197,10.2937,90.1816,*,*,*,*,3.7979,*,162.494
*,*,*,*,*,*,*,*,*,1.89181,*
0.174187,*,*,*,Neutral,*,*,No,*,6.84625,*
2.03921,*,*,390.406,La_Nina,Damaged,*,*,3.97238,3.33564,*
*,*,*,*,Neutral,*,*,*,*,*,*
*,*,84.7754,*,*,*,*,*,3.38809,*,*
*,*,14.9689,*,El_Nino,*,Yes,*,*,*,1.20499
4.68191,*,*,*,*,*,*,No,*,*,*
2.90451,*,*,*,*,*,*,*,*,*,136.277
*,*,194.379,*,*,Good,*,*,*,*,*
*,*,86.3526,*,Neutral,*,*,*,*,*,*
*,318.903,153.95,183.86,*,*,No,*,*,*,97.8597
*,*,*,*,*,*,No,*,*,*,*
